,id,Loai_cho,Chi_tiet,Gioi_tinh,Tuoi,vacxin
107,08650f536db0479ca5d4306e4c2e3b0d,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",02 cái 01 đực,02 tháng,đã tiêm 2 mũi
108,5f874aea3fe344cf8ecd05dca95133cb,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,chưa
109,d0ff7a0746f3457bb5f3bedd1187374d,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",cái,02 tháng,chưa
110,059a1fc8d34949d7aab950acd47f94f8,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",cái,02 tháng,đã tiêm 2 mũi
111,029b298901d04625992fc16141a6a38b,Alaska,chó Alaska Malamute,đực,02 tháng,đã tiêm 2 mũi
112,0e86f47d0dbe40da9af4d46c1e09505c,Poodle,chó Poodle Tiny,đực,02 tháng,chưa
113,661a036e304442bf86682907ac51a1be,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",02 đực,02 tháng,đã tiêm 2 mũi
114,6b9cb3e1ce5140cb864bc0ca628002c2,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,chưa
115,859692b2f20a4422a6650c1e350dd6b8,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,đã tiêm 2 mũi
116,b1e04cf3d4214ffa9e8403bc8d3fd83a,Basenji,chó Basenji,đực,02 tháng,chưa
117,de850b4d791d46078740b921e57d77c0,Labrador,Labrador Retriever,đực,03 tháng,chưa
118,fb515abec6c74796a60cf6855d190725,Bull Pháp,chó Bull Pháp,đực,02 tháng,đã tiêm 2 mũi
119,4006000a5de145b9b82b2ded22788955,Poodle,chó Poodle Tiny,đực,02 tháng,chưa
120,45e977d3a793404bb23cc573eba72f46,Poodle,chó Poodle Tiny,đực,02 tháng,chưa
121,678e2a90d0d44cb1afdce74ce2b13ef3,Lạp xưởng,chó Dachshund (Lạp Xưởng),đực,02 tháng,đã tiêm 2 mũi
122,a1814c01c3824fee9a3f9ed10349abb5,Lạp xưởng,chó Dachshund (Lạp Xưởng),đực,02 tháng,đã tiêm 2 mũi
123,b54b9124136144279ce4ed5e7d8731a5,Lạp xưởng,chó Dachshund (Lạp Xưởng),đực,02 tháng,chưa
124,f1aa4f92fcef4c25a0f151701e8636aa,Phú Quốc,chó Phú Quốc,đực,03 tháng,chưa
125,f938b133b30a48d5873986b971492446,Phú Quốc,chó Phú Quốc,đực,04 tháng,chưa
126,28e8c6c640a74de3853bf60958b654fd,Phú Quốc,chó Phú Quốc,02 đực,03 tháng,chưa
127,32f9222645f245ef943c8fdfa600e9d7,Bull Pháp,chó Bull Pháp,đực,02 tháng,đã tiêm 2 mũi
128,3363ef0ac6e3441595ba79ca2b0ca9f7,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",06 cái 04 đực,02 tháng,chưa
129,3c0c68f74bda455b919355001c08f0e5,Alaska,chó Alaska Malamute,01 cái 01 đực,02 tháng,chưa
130,4c04bf76caa944f18a690d59818447c3,Alaska,chó Alaska Malamute,đực,02 tháng,đã tiêm 2 mũi
131,56426fa8173f47d38bce2a8a607df0c0,Alaska,chó Alaska Malamute,cái,02 tháng,đã tiêm 2 mũi
132,705c59866dec4adea82229d8bec21f4e,Bichon,chó Bichons Frise,02 đực,02 tháng,chưa
133,7906f664d9f74b148176215daad9465f,Bichon,chó Bichons Frise,đực,02 tháng,đã tiêm 2 mũi
134,94f878c5dd3c41bf9038563b6010b128,Alaska,chó Alaska Malamute,đực cái Tuổi: 02 tháng,02 tháng,chưa
